id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61723,terminee,R,R,9,9,1,364665446655547445655463354663335412989333818222228899298892899298777
61722,terminee,R,R,9,9,1,4536555655678777366744467144333
61721,terminee,R,Y,9,9,1,54356645455698866844665818858833253649526414299189429777
61720,terminee,R,R,9,9,1,734566555566473477446433544356556689846877778888899989799111133111133199222
61719,nulle,R,,9,9,1,644545655566623352234446454453333352988866998888882222999619111111112377777777799
61718,terminee,R,Y,9,9,1,7754565555774654477646
61717,terminee,R,R,9,9,1,5655455655676686687523362422887773733282238633235887787192999
61716,terminee,R,Y,9,9,1,54645655544648448558224586666668885483333333223822239229991119911111919977
61715,terminee,R,Y,9,9,1,453454565547856766776446566512546211228892999221117927977712144888
61714,terminee,R,R,9,9,1,56666555656638442
61713,terminee,R,Y,9,9,1,3553455454344755877484889445588299228777787793383399229666
61712,terminee,R,Y,9,9,1,45755454554744733535547366
61711,terminee,R,Y,9,9,1,345366554434785648866553377746547355664777346332888872222222882119911111119999
61710,terminee,R,R,9,9,1,365455666564444558664458948655846399999229991112121112221188822887777
61709,terminee,R,Y,9,9,1,5474685444657877885858857476354466566466587792922282233333
61708,terminee,R,R,9,9,1,4443454454544667865566555777777523333
61707,terminee,R,R,9,9,1,746444585566685685864588424452646918895568122229977
61706,terminee,R,R,9,9,1,4763455544637
61705,terminee,R,R,9,9,1,56464444645623233163555
61704,terminee,R,R,9,9,1,545355555643433124244333426566446363586686888881989118991911919199777
61703,terminee,R,R,9,9,1,734566555489443246665485886618445521915296977
61702,terminee,R,R,9,9,1,57454556446264877574455677722476665262225264788888888
61701,terminee,R,Y,9,9,1,45646556566343345545964464549578788886822261889933811939912222321133
61700,terminee,R,R,9,9,1,564556566543444662512346322
61699,terminee,R,R,9,9,1,64466664454233633538446618138869119811434185555
61698,terminee,R,R,9,9,1,4545544655678567663
61697,terminee,R,R,9,9,1,55666654554444877
61696,terminee,R,R,9,9,1,56764664555544233
61695,terminee,R,R,9,9,1,7637454656657454554476645443397775667675889921888229888
61694,nulle,R,,9,9,1,656566665675775669755779977999999557222222133333333111111321144244444884428888888
61693,terminee,R,Y,9,9,1,4476446446257665312322355755339226363555662223399444977777
61692,terminee,R,Y,9,9,1,5656664544456554462345445225333266336888888797773388999398997922219111122777
61691,terminee,R,Y,9,9,1,376546644421774553
61690,terminee,R,R,9,9,1,677756434566555463233974437
61689,terminee,R,R,9,9,1,546744555546666447596966774577945699757471333333333211111111999928888
61688,terminee,R,R,9,9,1,65454656546345536646566533344345334191978982922119877
61687,nulle,R,,9,9,1,654346646635444455555666533333345411111161977777771999997792221329988888222822888
61686,terminee,R,R,9,9,1,64364556466364746689884845588989995554958896599771333111114111333372777
61685,terminee,R,R,9,9,1,5366556556748
61684,terminee,R,Y,9,9,1,7353564465745663
61683,terminee,R,R,9,9,1,564446555542445544554988292222221996668866161111998889629119177877777778333
61682,terminee,R,R,9,9,1,475655646566455467489846994423222552778829888996625477778333331823323711191111199
61681,terminee,R,R,9,9,1,66654466544343363664119499786933189443879939755
61680,terminee,R,R,9,9,1,6456656645588585989976779
61671,terminee,R,Y,9,9,1,437765545664779855964699547664544577888766511991411181888819719922222222233333
61670,terminee,R,R,9,9,1,3445645444535563358553366
61669,terminee,R,R,9,9,1,654666555548344436122
61668,terminee,R,R,9,9,1,643554446686648448977
61667,terminee,R,Y,9,9,1,375564664533455667856443
61666,terminee,R,Y,9,9,1,54645655449664458776655744665212222221516499922119111917799333
61665,terminee,R,Y,9,9,1,4755554665443224332322344366
61664,terminee,R,R,9,9,1,4437655555446376336646775667545544212642333322222111312119999779999911888
61663,terminee,R,R,9,9,1,3643526446283797782443228873233977644664626674888827733111555555111551829119999
61662,terminee,R,R,9,9,1,634566556553623633363665331727882878812291828858152221591111779977779999944
61661,terminee,R,R,9,9,1,444446544563635336615565596641811985881811818488922562222199992299277
61660,terminee,R,R,9,9,1,57555564666647447645455477477762261122211222119215461799999999188
61659,terminee,R,Y,9,9,1,654455555434433333454477777798854512612111888166733666711888376681999999992222
61658,terminee,R,R,9,9,1,6463545446557
61657,terminee,R,R,9,9,1,6753455665443633465667353779494456933454599779976979111111117122222
61656,terminee,R,Y,9,9,1,467666555577452344766447
61655,terminee,R,Y,9,9,1,7664465555637644577744556677464122125226452222991133
61654,terminee,R,R,9,9,1,445654554567236664489858892282226166129823181135124511188596994499977
61653,terminee,R,R,9,9,1,556465464556685566445888446884594689882212992111129212299911129333333
61652,terminee,R,R,9,9,1,64654445572556634637877776442333252
61651,terminee,R,Y,9,9,1,43554654654754333366665544336469889858849977
61650,nulle,R,,9,9,1,644665664553252244551464416655333213322333425621111197777777799999788888812899898
61649,terminee,R,R,9,9,1,4464655655544255484486665828128334996819569869119929988211222211177
61648,terminee,R,R,9,9,1,65664665665577895789757593519399377971699476444
61647,terminee,R,R,9,9,1,4476556655762326652237344
61646,terminee,R,Y,9,9,1,7644666654424474557752655657744526226522277999112999799988111333
61645,terminee,R,Y,9,9,1,6356475655754667755633344669997563344737775922129994339442222119212888
61644,terminee,R,Y,9,9,1,544365645647565564361414433335331116645561777777
61643,terminee,R,R,9,9,1,6665546655233535566333633255224441369122228727788
61642,terminee,R,Y,9,9,1,5464466545445633
